Contig	ERR2185436	ERR2185437	ERR2185438	ERR2185439	ERR2185440	ERR2185441	ERR2185442	ERR2185443	ERR2185444	ERR2185445	ERR2185446	SRR23967288	SRR23967289	SRR23967290	SRR23967291	SRR23967292	SRR23967293	SRR23967294	SRR23967295	SRR23967296	SRR23967297	SRR23967298	SRR23967299	SRR23967300	SRR23967301	SRR23967302	SRR23967303	SRR23967304	SRR23967305
ERR2185444_RNODE_83_length_5149_cov_6.92600	0	14.08	0	0	31.4	40.86	46.53	36.12	100	29.77	75.35	0	31.19	0	20.41	5.11	0	37.37	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_84_length_2802_cov_5.75881	0	0	0	0	0	9.88	16.05	0	100	5.32	98.64	0	9.99	0	0	0	0	9.99	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_85_length_3623_cov_4.85752	0	0	0	0	0	0	0	64.12	100	25.45	5.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.71	0	0
ERR2185444_RNODE_86_length_3431_cov_39.80289	0	0	0	6.97	24.77	13.93	18.65	43.4	100	8.16	8.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_87_length_1416_cov_9.61670	0	21.17	28.72	0	67.25	73.61	52.51	69.94	100	26.61	21.45	0	86.8	0	18.84	0	0	89.7	0	0	0	0	0	0	0	0	0	9.46	0
ERR2185444_RNODE_88_length_2562_cov_6.83574	0	11.98	6.44	6.79	43	53.49	42.29	51.97	100	46.66	53.02	0	42.26	0	5.42	0	0	25.63	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_89_length_2262_cov_191.79908	6.63	36.24	0	0	56.78	0	0	85.02	100	12.06	41.18	0	0	25.19	9.24	18.16	5.79	0	6.19	0	6.19	0	0	0	0	0	0	0	0
ERR2185444_RNODE_8_length_3118_cov_14.31620	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_90_length_2261_cov_56.45652	6.63	7.92	0	0	48.34	0	0	50.86	100	12.3	31.76	0	0	12.83	6.19	0	5.79	0	6.19	0	6.19	0	0	0	0	0	0	0	0
ERR2185444_RNODE_91_length_5261_cov_26.79874	62.69	86.62	87.95	71.83	97.43	96.1	75.04	93.18	100	96.18	86.94	0	61.89	76.91	74.93	84.62	56.59	92.4	80	0	27.05	65.75	0	40.26	19.71	0	5.23	37.96	32.98
ERR2185444_RNODE_92_length_5129_cov_11.65806	0	0	10.14	0	28.31	0	0	70.48	100	51.98	59.76	0	0	0	0	0	0	0	5.44	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_93_length_7278_cov_31.27959	17.61	31.24	35.17	23.97	76.14	93.54	87.62	88.78	100	90.7	99.7	12.94	90.63	64.27	88.71	83.93	47.34	98.02	43.52	32.04	35.42	38.44	44.73	41.08	45.16	27.52	44.28	39.43	0
ERR2185444_RNODE_94_length_2748_cov_4.21110	44.78	69.04	90.32	94.14	100	65.7	32.27	58.46	100	94.43	44.45	0	37.29	67.26	57.26	81.27	22.01	97.34	97.93	0	0	10.19	0	68.79	0	0	7.78	26.45	0
